6 FRAME COLUMNS							AVERAGE		PBAG CHANCE		FRAMES PAST		SECONDS ELAPSED
27	141	198	227	241	248		180.33		0.2928		726		12.1
124	190	95	47	151	75		113.67		0.5542		732		12.2
37	18	137	68	162	81		83.83		0.6712		738		12.3
168	212	234	245	250	253		227.0		0.1098		744		12.4
126	63	159	207	231	115		150.17		0.4111		750		12.5
185	220	110	55	27	13		101.67		0.6013		756		12.6
134	67	33	16	8	132		65.0		0.7451		762		12.7
194	97	48	152	204	102		132.83		0.4791		768		12.8
179	217	108	182	219	237		190.33		0.2536		774		12.9
118	187	93	174	215	235		170.33		0.332		780		13.0
117	186	221	238	119	187		178.0		0.302		786		13.1
93	174	87	171	85	42		108.67		0.5739		792		13.2
21	138	69	34	17	136		69.17		0.7288		798		13.3
196	98	49	24	140	70		96.17		0.6229		804		13.4
35	145	72	36	146	201		105.83		0.585		810		13.5
100	50	25	140	70	163		91.33		0.6418		816		13.6
209	232	116	58	29	14		109.67		0.5699		822		13.7
135	67	33	16	8	4		43.83		0.8281		828		13.8
130	193	224	240	248	124		193.17		0.2425		834		13.9
62	159	207	103	179	217		154.5		0.3941		840		14.0
108	54	155	77	166	83		107.17		0.5797		846		14.1
41	148	74	165	210	105		123.83		0.5144		852		14.2
52	154	77	38	147	73		90.17		0.6464		858		14.3
36	146	201	100	178	217		146.33		0.4261		864		14.4
236	246	251	253	254	255		249.17		0.0229		870		14.5
255	127	191	223	111	55		160.33		0.3712		876		14.6
155	77	166	83	41	148		111.67		0.5621		882		14.7
202	101	178	89	44	150		127.33		0.5007		888		14.8
75	165	82	41	20	138		86.83		0.6595		894		14.9
197	98	49	152	76	166		123.0		0.5176		900		15.0
211	233	244	122	61	30		150.17		0.4111		906		15.1
143	199	99	49	24	12		87.67		0.6562		912		15.2
134	195	97	176	216	236		175.67		0.3111		918		15.3
118	187	221	238	119	187		178.33		0.3007		924		15.4
221	110	183	91	45	22		112.0		0.5608		930		15.5
11	5	130	193	224	240		133.83		0.4752		936		15.6
248	124	190	95	175	87		153.17		0.3993		942		15.7
171	213	106	181	90	45		134.33		0.4732		948		15.8
150	75	37	146	201	228		139.5		0.4529		954		15.9
114	57	28	142	71	163		95.83		0.6242		960		16.0
81	40	20	138	197	98		95.67		0.6248		966		16.1
49	152	204	102	179	217		150.5		0.4098		972		16.2
236	118	59	157	78	167		135.83		0.4673		978		16.3
83	41	20	10	5	130		48.17		0.8111		984		16.4
193	224	240	248	124	62		181.83		0.2869		990		16.5
31	143	71	163	209	104		120.17		0.5288		996		16.6
52	26	13	134	67	33		54.17		0.7876		1002		16.7
144	72	36	18	9	4		47.17		0.815		1008		16.8
130	65	32	16	8	4		42.5		0.8333		1014		16.9
130	193	96	176	88	44		121.17		0.5248		1020		17.0
22	139	197	226	241	120		157.5		0.3824		1026		17.1
60	30	143	71	35	145		80.67		0.6837		1032		17.2
200	100	50	153	204	230		156.17		0.3876		1038		17.3
115	57	28	14	135	67		69.33		0.7281		1044		17.4
161	80	168	212	106	181		151.33		0.4065		1050		17.5
218	109	182	219	237	118		180.5		0.2922		1056		17.6
187	93	46	23	139	69		92.83		0.6359		1062		17.7
162	209	232	244	122	61		171.67		0.3268		1068		17.8
158	79	167	83	169	84		123.33		0.5163		1074		17.9
42	21	10	5	130	65		45.5		0.8216		1080		18.0
160	80	40	148	74	37		89.83		0.6477		1086		18.1
18	9	4	2	129	64		37.67		0.8523		1092		18.2
32	144	72	164	82	169		110.5		0.5667		1098		18.3
212	106	181	90	173	86		141.33		0.4458		1104		18.4
171	85	42	149	202	229		146.33		0.4261		1110		18.5
242	249	252	254	255	127		229.83		0.0987		1116		18.6
191	95	175	87	171	213		155.33		0.3908		1122		18.7
234	117	186	93	174	87		148.5		0.4176		1128		18.8
43	21	10	5	2	1		13.67		0.9464		1134		18.9
0	128	192	224	112	184		140.0		0.451		1140		19.0
92	174	215	235	245	122		180.5		0.2922		1146		19.1
189	94	175	215	107	53		138.83		0.4556		1152		19.2
154	205	230	243	121	188		190.17		0.2542		1158		19.3
222	111	183	91	173	214		165.67		0.3503		1164		19.4
107	181	90	45	150	75		108.0		0.5765		1170		19.5
37	18	9	132	66	33		49.17		0.8072		1176		19.6
16	136	196	98	49	24		86.5		0.6608		1182		19.7
12	134	195	225	112	56		122.33		0.5203		1188		19.8
156	78	167	211	105	180		149.5		0.4137		1194		19.9
90	173	86	171	85	170		129.17		0.4935		1200		20.0
85	42	149	202	229	242		158.17		0.3797		1206		20.1
121	60	158	207	103	179		138.0		0.4588		1212		20.2
89	44	150	203	229	242		159.5		0.3745		1218		20.3
121	188	222	239	247	123		190.0		0.2549		1224		20.4
61	30	15	135	195	97		88.83		0.6516		1230		20.5
176	216	236	118	59	29		139.0		0.4549		1236		20.6
142	71	163	209	104	52		123.5		0.5157		1242		20.7
154	77	38	19	9	132		71.5		0.7196		1248		20.8
66	161	80	168	84	170		121.5		0.5235		1254		20.9
85	42	149	202	229	114		136.83		0.4634		1260		21.0
185	92	174	215	107	181		159.0		0.3765		1266		21.1
218	237	246	251	253	254		243.17		0.0464		1272		21.2
127	63	159	79	167	83		113.0		0.5569		1278		21.3
41	20	138	69	162	81		85.17		0.666		1284		21.4
168	212	234	245	122	61		173.67		0.319		1290		21.5
30	15	135	195	225	240		140.0		0.451		1296		21.6
120	188	94	47	23	11		80.5		0.6843		1302		21.7
5	2	129	64	32	144		62.67		0.7542		1308		21.8
200	228	242	249	252	126		216.17		0.1523		1314		21.9
191	223	239	247	251	125		212.67		0.166		1320		22.0
62	159	79	39	19	9		61.17		0.7601		1326		22.1
132	194	225	240	248	252		215.17		0.1562		1332		22.2
254	127	191	223	111	183		181.5		0.2882		1338		22.3
219	237	118	59	29	142		134.0		0.4745		1344		22.4
71	35	17	136	68	162		81.5		0.6804		1350		22.5
81	40	148	202	101	50		103.67		0.5935		1356		22.6
153	76	166	211	233	116		159.17		0.3758		1362		22.7
186	221	238	247	251	125		211.33		0.1712		1368		22.8
190	223	239	119	187	93		175.17		0.3131		1374		22.9
174	87	171	85	170	85		128.67		0.4954		1380		23.0
170	85	42	21	138	69		87.5		0.6569		1386		23.1
34	17	8	132	66	33		48.33		0.8105		1392		23.2
16	136	68	162	209	104		115.83		0.5458		1398		23.3
52	154	205	102	179	217		151.5		0.4059		1404		23.4
236	118	187	221	238	247		207.83		0.185		1410		23.5
123	61	30	143	71	35		77.17		0.6974		1416		23.6
145	200	228	242	249	252		219.33		0.1399		1422		23.7
254	127	63	159	207	231		173.5		0.3196		1428		23.8
115	185	92	174	87	43		116.0		0.5451		1434		23.9
21	138	69	162	209	104		117.17		0.5405		1440		24.0
180	218	109	54	27	141		121.5		0.5235		1446		24.1
198	227	241	120	188	94		178.0		0.302		1452		24.2
47	23	139	69	162	209		108.17		0.5758		1458		24.3
104	52	154	77	166	83		106.0		0.5843		1464		24.4
169	212	106	181	90	45		133.83		0.4752		1470		24.5
22	11	5	2	129	192		60.17		0.7641		1476		24.6
96	176	88	172	214	235		163.5		0.3588		1482		24.7
117	58	157	78	167	211		131.33		0.485		1488		24.8
233	244	250	253	254	255		248.17		0.0268		1494		24.9
127	63	31	143	199	99		110.33		0.5673		1500		25.0
177	216	236	246	123	61		176.5		0.3078		1506		25.1
158	79	39	147	201	100		120.67		0.5268		1512		25.2
178	89	44	150	75	37		95.5		0.6255		1518		25.3
146	201	100	178	217	108		158.33		0.3791		1524		25.4
182	91	173	214	235	245		190.0		0.2549		1530		25.5
250	253	126	63	31	143		144.33		0.434		1536		25.6
71	35	145	200	100	178		121.5		0.5235		1542		25.7
89	172	214	107	53	26		110.17		0.568		1548		25.8
141	70	35	145	72	164		104.5		0.5902		1554		25.9
210	233	244	122	61	158		171.33		0.3281		1560		26.0
207	231	243	121	60	30		148.67		0.417		1566		26.1
15	135	67	33	144	200		99.0		0.6118		1572		26.2
100	50	25	140	198	99		102.0		0.6		1578		26.3
177	88	44	22	11	133		79.17		0.6895		1584		26.4
66	33	144	72	36	18		61.5		0.7588		1590		26.5
9	132	66	33	16	8		44.0		0.8275		1596		26.6
4	2	1	0	0	128		22.5		0.9118		1602		26.7
64	32	16	8	132	66		53.0		0.7922		1608		26.8
161	80	40	20	10	133		74.0		0.7098		1614		26.9
66	161	208	104	52	26		102.83		0.5967		1620		27.0
141	198	227	113	56	28		127.17		0.5013		1626		27.1
14	135	67	161	208	232		136.17		0.466		1632		27.2
116	58	157	206	103	51		115.17		0.5484		1638		27.3
153	76	38	147	73	36		87.17		0.6582		1644		27.4
146	73	164	82	169	212		141.0		0.4471		1650		27.5
234	245	122	61	30	143		139.17		0.4542		1656		27.6
71	163	209	232	116	186		162.83		0.3614		1662		27.7
221	238	119	59	29	14		113.33		0.5556		1668		27.8
135	195	97	48	152	204		138.5		0.4569		1674		27.9
230	243	121	188	222	239		207.17		0.1876		1680		28.0
247	251	253	254	127	191		220.5		0.1353		1686		28.1
223	111	55	27	13	6		72.5		0.7157		1692		28.2
3	1	128	192	224	240		131.33		0.485		1698		28.3
248	124	190	95	175	215		174.5		0.3157		1704		28.4
235	245	122	189	94	47		155.33		0.3908		1710		28.5
23	11	5	130	193	224		97.67		0.617		1716		28.6
112	184	220	238	119	187		176.67		0.3072		1722		28.7
93	46	151	203	229	114		139.33		0.4536		1728		28.8
57	156	206	231	115	57		137.0		0.4627		1734		28.9
156	78	39	147	201	228		141.5		0.4451		1740		29.0
242	121	60	30	15	7		79.17		0.6895		1746		29.1
3	129	64	160	80	40		79.33		0.6889		1752		29.2
148	202	101	178	217	108		159.0		0.3765		1758		29.3
54	155	205	102	51	153		120.0		0.5294		1764		29.4
204	102	179	89	172	86		138.67		0.4562		1770		29.5
43	21	10	133	194	97		83.0		0.6745		1776		29.6
48	24	140	198	227	113		125.0		0.5098		1782		29.7
56	156	78	167	211	233		150.17		0.4111		1788		29.8
244	250	253	126	191	95		193.17		0.2425		1794		29.9
47	23	139	197	226	241		145.5		0.4294		1800		30.0
248	252	254	127	63	31		162.5		0.3627		1806		30.1
143	71	163	209	104	180		145.0		0.4314		1812		30.2
218	109	182	91	45	150		132.5		0.4804		1818		30.3
203	229	114	57	28	142		128.83		0.4948		1824		30.4
71	163	81	168	84	170		122.83		0.5183		1830		30.5
213	106	53	154	77	38		106.83		0.581		1836		30.6
147	201	228	114	57	28		129.17		0.4935		1842		30.7
142	199	99	49	24	12		87.5		0.6569		1848		30.8
134	195	225	240	248	252		215.67		0.1542		1854		30.9
126	191	223	111	55	155		143.5		0.4373		1860		31.0
205	102	179	89	172	214		160.17		0.3719		1866		31.1
107	53	154	205	230	115		144.0		0.4353		1872		31.2
185	92	174	87	171	85		132.33		0.481		1878		31.3
42	21	138	197	98	49		90.83		0.6438		1884		31.4
152	204	102	51	153	204		144.33		0.434		1890		31.5
102	51	153	76	38	19		73.17		0.7131		1896		31.6
9	4	2	1	128	64		34.67		0.8641		1902		31.7
32	144	200	100	50	25		91.83		0.6399		1908		31.8
12	6	131	193	96	48		81.0		0.6824		1914		31.9
24	140	70	163	81	168		107.67		0.5778		1920		32.0
84	42	149	74	165	210		120.67		0.5268		1926		32.1
105	52	26	141	198	227		124.83		0.5105		1932		32.2
113	56	156	78	167	83		108.83		0.5732		1938		32.3
169	212	234	245	122	189		195.17		0.2346		1944		32.4
222	111	55	155	205	230		163.0		0.3608		1950		32.5
243	121	60	158	79	39		116.67		0.5425		1956		32.6
19	137	196	226	241	120		156.5		0.3863		1962		32.7
188	222	111	55	155	205		156.0		0.3882		1968		32.8
230	243	249	124	190	95		188.5		0.2608		1974		32.9
47	23	139	69	162	209		108.17		0.5758		1980		33.0
104	180	218	109	182	91		147.33		0.4222		1986		33.1
173	214	235	245	122	61		175.0		0.3137		1992		33.2
30	15	7	131	65	160		68.0		0.7333		1998		33.3
80	168	84	170	85	170		126.17		0.5052		2004		33.4
85	42	149	74	165	82		99.5		0.6098		2010		33.5
41	20	138	197	226	241		143.83		0.4359		2016		33.6
248	124	190	223	239	119		190.5		0.2529		2022		33.7
187	93	46	151	203	101		130.17		0.4895		2028		33.8
178	89	172	214	235	117		167.5		0.3431		2034		33.9
186	93	46	23	139	197		114.0		0.5529		2040		34.0
226	113	56	156	78	39		111.33		0.5634		2046		34.1
19	9	4	130	193	96		75.17		0.7052		2052		34.2
48	152	204	230	243	249		187.67		0.2641		2058		34.3
252	126	191	223	239	247		213.0		0.1647		2064		34.4
123	61	30	143	71	35		77.17		0.6974		2070		34.5
17	136	196	226	241	248		177.33		0.3046		2076		34.6
252	254	127	191	223	239		214.33		0.1595		2082		34.7
119	187	221	110	55	27		119.83		0.5301		2088		34.8
13	134	67	33	144	72		77.17		0.6974		2094		34.9
164	210	105	52	154	77		127.0		0.502		2100		35.0
38	147	201	100	178	217		146.83		0.4242		2106		35.1
108	182	219	109	182	219		169.83		0.334		2112		35.2
237	246	251	253	254	127		228.0		0.1059		2118		35.3
191	95	47	151	75	37		99.33		0.6105		2124		35.4
18	9	132	194	97	176		104.33		0.5908		2130		35.5
216	236	118	59	157	78		144.0		0.4353		2136		35.6
39	147	201	100	50	25		93.67		0.6327		2142		35.7
140	70	35	17	136	68		77.67		0.6954		2148		35.8
34	17	8	4	130	65		43.0		0.8314		2154		35.9
32	16	8	132	66	161		69.17		0.7288		2160		36.0
80	168	84	42	149	74		99.5		0.6098		2166		36.1
165	210	233	116	58	157		156.5		0.3863		2172		36.2
206	231	115	185	220	110		177.83		0.3026		2178		36.3
183	91	173	214	107	53		136.83		0.4634		2184		36.4
26	141	198	99	49	24		89.5		0.649		2190		36.5
140	198	227	113	56	156		148.33		0.4183		2196		36.6
206	231	243	249	252	254		239.17		0.0621		2202		36.7
255	255	255	127	63	31		164.33		0.3556		2208		36.8
143	199	99	49	152	204		141.0		0.4471		2214		36.9
230	115	57	156	206	103		144.5		0.4333		2220		37.0
179	217	108	182	91	173		158.33		0.3791		2226		37.1
86	43	21	138	197	98		97.17		0.619		2232		37.2
49	152	76	166	83	169		115.83		0.5458		2238		37.3
212	106	53	26	141	70		101.33		0.6026		2244		37.4
35	17	8	4	130	193		64.5		0.7471		2250		37.5
224	112	184	220	110	183		172.17		0.3248		2256		37.6
219	109	54	155	205	102		140.67		0.4484		2262		37.7
179	89	172	214	235	117		167.67		0.3425		2268		37.8
186	221	238	119	187	221		195.33		0.234		2274		37.9
238	119	187	93	46	23		117.67		0.5386		2280		38.0
11	5	2	1	128	192		56.5		0.7784		2286		38.1
96	176	216	236	118	59		150.17		0.4111		2292		38.2
157	78	167	211	233	116		160.33		0.3712		2298		38.3
58	29	142	199	99	49		96.0		0.6235		2304		38.4
152	76	38	19	137	196		103.0		0.5961		2310		38.5
226	113	56	28	14	7		74.0		0.7098		2316		38.6
3	129	64	160	80	40		79.33		0.6889		2322		38.7
20	138	69	162	209	104		117.0		0.5412		2328		38.8
52	26	141	70	35	145		78.17		0.6935		2334		38.9
200	100	50	153	204	102		134.83		0.4712		2340		39.0
51	25	12	6	131	65		48.33		0.8105		2346		39.1
32	16	136	196	98	177		109.17		0.5719		2352		39.2
216	236	118	187	221	110		181.33		0.2889		2358		39.3
183	91	173	86	171	85		131.5		0.4843		2364		39.4
170	213	234	117	186	221		190.17		0.2542		2370		39.5
238	119	187	93	46	23		117.67		0.5386		2376		39.6
139	69	34	17	136	196		98.5		0.6137		2382		39.7
98	49	152	204	102	51		109.33		0.5712		2388		39.8
153	76	38	19	137	68		81.83		0.6791		2394		39.9
34	17	136	68	34	17		51.0		0.8		2400		40.0
136	68	34	17	8	4		44.5		0.8255		2406		40.1
2	1	0	0	0	128		21.83		0.9144		2412		40.2
64	32	16	136	68	34		58.33		0.7712		2418		40.3
145	72	36	18	137	68		79.33		0.6889		2424		40.4
34	145	200	100	50	153		113.67		0.5542		2430		40.5
204	102	179	89	44	22		106.67		0.5817		2436		40.6
139	69	34	145	200	228		135.83		0.4673		2442		40.7
114	185	220	238	247	123		187.83		0.2634		2448		40.8
189	94	175	87	171	213		154.83		0.3928		2454		40.9
234	117	186	221	238	119		185.83		0.2712		2460		41.0
59	29	14	7	131	65		50.83		0.8007		2466		41.1
32	144	200	228	114	57		129.17		0.4935		2472		41.2
156	206	231	243	249	124		201.5		0.2098		2478		41.3
62	31	143	199	99	49		97.17		0.619		2484		41.4
152	76	38	19	9	132		71.0		0.7216		2490		41.5
194	97	48	24	12	134		84.83		0.6673		2496		41.6
67	161	80	168	84	42		100.33		0.6065		2502		41.7
149	74	37	146	201	100		117.83		0.5379		2508		41.8
50	153	204	102	51	153		118.83		0.534		2514		41.9
204	102	179	89	44	22		106.67		0.5817		2520		42.0
11	5	2	129	192	224		93.83		0.632		2526		42.1
112	56	156	206	231	115		146.0		0.4275		2532		42.2
185	92	46	151	203	229		151.0		0.4078		2538		42.3
242	121	188	94	175	87		151.17		0.4072		2544		42.4
43	21	10	5	2	129		35.0		0.8627		2550		42.5
192	224	240	248	124	190		203.0		0.2039		2556		42.6
223	111	183	219	237	118		181.83		0.2869		2562		42.7
187	221	238	119	59	29		142.17		0.4425		2568		42.8
142	199	99	49	24	140		108.83		0.5732		2574		42.9
198	99	177	216	236	246		195.33		0.234		2580		43.0
251	253	126	63	31	143		144.5		0.4333		2586		43.1
199	227	113	184	92	174		164.83		0.3536		2592		43.2
87	43	21	138	69	34		65.33		0.7438		2598		43.3
145	72	164	210	105	52		124.67		0.5111		2604		43.4
154	205	230	243	249	124		200.83		0.2124		2610		43.5
190	223	239	119	187	93		175.17		0.3131		2616		43.6
174	215	235	117	186	93		170.0		0.3333		2622		43.7
174	87	171	85	170	85		128.67		0.4954		2628		43.8
42	21	10	5	130	65		45.5		0.8216		2634		43.9
32	144	72	164	82	41		89.17		0.6503		2640		44.0
20	138	197	98	177	88		119.67		0.5307		2646		44.1
44	150	203	229	242	249		186.17		0.2699		2652		44.2
252	126	191	223	111	55		159.67		0.3739		2658		44.3
155	77	38	147	73	164		109.0		0.5725		2664		44.4
210	105	180	218	237	246		199.33		0.2183		2670		44.5
123	189	94	47	151	203		134.5		0.4725		2676		44.6
101	50	25	140	70	35		70.17		0.7248		2682		44.7
17	136	196	98	49	24		86.67		0.6601		2688		44.8
12	134	67	161	80	40		82.33		0.6771		2694		44.9
148	74	165	82	41	148		109.67		0.5699		2700		45.0
74	165	82	169	212	106		134.67		0.4719		2706		45.1
53	26	141	198	227	113		126.33		0.5046		2712		45.2
56	28	142	199	99	177		116.83		0.5418		2718		45.3
216	236	118	187	221	238		202.67		0.2052		2724		45.4
119	59	157	78	167	83		110.5		0.5667		2730		45.5
41	20	138	69	162	209		106.5		0.5824		2736		45.6
232	244	250	253	126	63		194.67		0.2366		2742		45.7
159	79	167	211	233	244		182.17		0.2856		2748		45.8
122	61	158	79	39	19		79.67		0.6876		2754		45.9
9	4	2	1	0	128		24.0		0.9059		2760		46.0
192	224	240	120	60	158		165.67		0.3503		2766		46.1
207	231	243	249	124	62		186.0		0.2706		2772		46.2
159	207	103	51	25	140		114.17		0.5523		2778		46.3
70	163	81	168	212	234		154.67		0.3935		2784		46.4
117	58	157	206	103	179		136.67		0.4641		2790		46.5
217	108	182	219	109	54		148.17		0.419		2796		46.6
27	13	134	195	225	240		139.0		0.4549		2802		46.7
248	124	190	95	175	87		153.17		0.3993		2808		46.8
43	149	74	165	82	41		92.33		0.6379		2814		46.9
148	202	101	178	217	236		180.33		0.2928		2820		47.0
118	59	157	78	39	147		99.67		0.6092		2826		47.1
73	36	18	9	132	66		55.67		0.7817		2832		47.2
33	144	200	100	50	25		92.0		0.6392		2838		47.3
12	6	3	129	64	32		41.0		0.8392		2844		47.4
16	136	68	34	17	136		67.83		0.734		2850		47.5
68	34	145	72	36	18		62.17		0.7562		2856		47.6
9	4	2	129	192	96		72.0		0.7176		2862		47.7
48	24	140	70	163	81		87.67		0.6562		2868		47.8
40	20	10	133	66	161		71.67		0.719		2874		47.9
208	232	116	58	157	206		162.83		0.3614		2880		48.0
231	115	185	92	46	151		136.67		0.4641		2886		48.1
75	165	210	105	180	90		137.5		0.4608		2892		48.2
173	214	107	53	26	13		97.67		0.617		2898		48.3
6	131	65	32	144	200		96.33		0.6222		2904		48.4
100	178	217	236	246	251		204.67		0.1974		2910		48.5
253	126	191	223	111	183		181.17		0.2895		2916		48.6
219	109	182	219	109	182		170.0		0.3333		2922		48.7
91	45	150	75	165	210		122.67		0.519		2928		48.8
105	52	154	77	38	19		74.17		0.7092		2934		48.9
9	4	130	193	96	176		101.33		0.6026		2940		49.0
88	172	214	235	245	250		200.67		0.2131		2946		49.1
253	126	191	223	239	119		191.83		0.2477		2952		49.2
59	157	206	231	115	57		137.5		0.4608		2958		49.3
156	206	103	51	153	204		145.5		0.4294		2964		49.4
230	115	185	92	174	87		147.17		0.4229		2970		49.5
43	149	74	37	146	201		108.33		0.5752		2976		49.6
100	178	89	172	86	43		111.33		0.5634		2982		49.7
149	202	229	114	57	28		129.83		0.4908		2988		49.8
14	7	3	129	192	96		73.5		0.7118		2994		49.9
176	88	44	150	75	37		95.0		0.6275		3000		50.0
18	137	68	34	145	72		79.0		0.6902		3006		50.1
164	210	233	244	122	189		193.67		0.2405		3012		50.2
222	239	247	251	125	62		191.0		0.251		3018		50.3
