10 FRAME COLUMNS											AVERAGE		PBAG CHANCE		FRAMES PAST		SECONDS ELAPSED
85	42	149	202	229	242	121	60	158	207		149.5		0.4137		1210		20.17
103	179	89	44	150	203	229	242	121	188		154.8		0.3929		1220		20.33
222	239	247	123	61	30	15	135	195	97		136.4		0.4651		1230		20.5
176	216	236	118	59	29	142	71	163	209		141.9		0.4435		1240		20.67
104	52	154	77	38	19	9	132	66	161		81.2		0.6816		1250		20.83
80	168	84	170	85	42	149	202	229	114		132.3		0.4812		1260		21.0
185	92	174	215	107	181	218	237	246	251		190.6		0.2525		1270		21.17
253	254	127	63	159	79	167	83	41	20		124.6		0.5114		1280		21.33
138	69	162	81	168	212	234	245	122	61		149.2		0.4149		1290		21.5
30	15	135	195	225	240	120	188	94	47		128.9		0.4945		1300		21.67
23	11	5	2	129	64	32	144	200	228		83.8		0.6714		1310		21.83
242	249	252	126	191	223	239	247	251	125		214.5		0.1588		1320		22.0
62	159	79	39	19	9	132	194	225	240		115.8		0.5459		1330		22.17
248	252	254	127	191	223	111	183	219	237		204.5		0.198		1340		22.33
118	59	29	142	71	35	17	136	68	162		83.7		0.6718		1350		22.5
81	40	148	202	101	50	153	76	166	211		122.8		0.5184		1360		22.67
233	116	186	221	238	247	251	125	190	223		203.0		0.2039		1370		22.83
239	119	187	93	174	87	171	85	170	85		141.0		0.4471		1380		23.0
170	85	42	21	138	69	34	17	8	132		71.6		0.7192		1390		23.17
66	33	16	136	68	162	209	104	52	154		100.0		0.6078		1400		23.33
205	102	179	217	236	118	187	221	238	247		195.0		0.2353		1410		23.5
123	61	30	143	71	35	145	200	228	242		127.8		0.4988		1420		23.67
249	252	254	127	63	159	207	231	115	185		184.2		0.2776		1430		23.83
92	174	87	43	21	138	69	162	209	104		109.9		0.569		1440		24.0
180	218	109	54	27	141	198	227	241	120		151.5		0.4059		1450		24.17
188	94	47	23	139	69	162	209	104	52		108.7		0.5737		1460		24.33
154	77	166	83	169	212	106	181	90	45		128.3		0.4969		1470		24.5
22	11	5	2	129	192	96	176	88	172		89.3		0.6498		1480		24.67
214	235	117	58	157	78	167	211	233	244		171.4		0.3278		1490		24.83
250	253	254	255	127	63	31	143	199	99		167.4		0.3435		1500		25.0
177	216	236	246	123	61	158	79	39	147		148.2		0.4188		1510		25.17
201	100	178	89	44	150	75	37	146	201		122.1		0.5212		1520		25.33
100	178	217	108	182	91	173	214	235	245		174.3		0.3165		1530		25.5
250	253	126	63	31	143	71	35	145	200		131.7		0.4835		1540		25.67
100	178	89	172	214	107	53	26	141	70		115.0		0.549		1550		25.83
35	145	72	164	210	233	244	122	61	158		144.4		0.4337		1560		26.0
207	231	243	121	60	30	15	135	67	33		114.2		0.5522		1570		26.17
144	200	100	50	25	140	198	99	177	88		122.1		0.5212		1580		26.33
44	22	11	133	66	33	144	72	36	18		57.9		0.7729		1590		26.5
9	132	66	33	16	8	4	2	1	0		27.1		0.8937		1600		26.67
0	128	64	32	16	8	132	66	161	80		68.7		0.7306		1610		26.83
40	20	10	133	66	161	208	104	52	26		82.0		0.6784		1620		27.0
141	198	227	113	56	28	14	135	67	161		114.0		0.5529		1630		27.17
208	232	116	58	157	206	103	51	153	76		136.0		0.4667		1640		27.33
38	147	73	36	146	73	164	82	169	212		114.0		0.5529		1650		27.5
234	245	122	61	30	143	71	163	209	232		151.0		0.4078		1660		27.67
116	186	221	238	119	59	29	14	135	195		131.2		0.4855		1670		27.83
97	48	152	204	230	243	121	188	222	239		174.4		0.3161		1680		28.0
247	251	253	254	127	191	223	111	55	27		173.9		0.318		1690		28.17
13	6	3	1	128	192	224	240	248	124		117.9		0.5376		1700		28.33
190	95	175	215	235	245	122	189	94	47		160.7		0.3698		1710		28.5
23	11	5	130	193	224	112	184	220	238		134.0		0.4745		1720		28.67
119	187	93	46	151	203	229	114	57	156		135.5		0.4686		1730		28.83
206	231	115	57	156	78	39	147	201	228		145.8		0.4282		1740		29.0
242	121	60	30	15	7	3	129	64	160		83.1		0.6741		1750		29.17
80	40	148	202	101	178	217	108	54	155		128.3		0.4969		1760		29.33
205	102	51	153	204	102	179	89	172	86		134.3		0.4733		1770		29.5
43	21	10	133	194	97	48	24	140	198		90.8		0.6439		1780		29.67
227	113	56	156	78	167	211	233	244	250		173.5		0.3196		1790		29.83
253	126	191	95	47	23	139	197	226	241		153.8		0.3969		1800		30.0
248	252	254	127	63	31	143	71	163	209		156.1		0.3878		1810		30.17
104	180	218	109	182	91	45	150	203	229		151.1		0.4075		1820		30.33
114	57	28	142	71	163	81	168	84	170		107.8		0.5773		1830		30.5
213	106	53	154	77	38	147	201	228	114		133.1		0.478		1840		30.67
57	28	142	199	99	49	24	12	134	195		93.9		0.6318		1850		30.83
225	240	248	252	126	191	223	111	55	155		182.6		0.2839		1860		31.0
205	102	179	89	172	214	107	53	154	205		148.0		0.4196		1870		31.17
230	115	185	92	174	87	171	85	42	21		120.2		0.5286		1880		31.33
138	197	98	49	152	204	102	51	153	204		134.8		0.4714		1890		31.5
102	51	153	76	38	19	9	4	2	1		45.5		0.8216		1900		31.67
128	64	32	144	200	100	50	25	12	6		76.1		0.7016		1910		31.83
131	193	96	48	24	140	70	163	81	168		111.4		0.5631		1920		32.0
84	42	149	74	165	210	105	52	26	141		104.8		0.589		1930		32.17
198	227	113	56	156	78	167	83	169	212		145.9		0.4278		1940		32.33
234	245	122	189	222	111	55	155	205	230		176.8		0.3067		1950		32.5
243	121	60	158	79	39	19	137	196	226		127.8		0.4988		1960		32.67
241	120	188	222	111	55	155	205	230	243		177.0		0.3059		1970		32.83
249	124	190	95	47	23	139	69	162	209		130.7		0.4875		1980		33.0
104	180	218	109	182	91	173	214	235	245		175.1		0.3133		1990		33.17
122	61	30	15	7	131	65	160	80	168		83.9		0.671		2000		33.33
84	170	85	170	85	42	149	74	165	82		110.6		0.5663		2010		33.5
41	20	138	197	226	241	248	124	190	223		164.8		0.3537		2020		33.67
239	119	187	93	46	151	203	101	178	89		140.6		0.4486		2030		33.83
172	214	235	117	186	93	46	23	139	197		142.2		0.4424		2040		34.0
226	113	56	156	78	39	19	9	4	130		83.0		0.6745		2050		34.17
193	96	48	152	204	230	243	249	252	126		179.3		0.2969		2060		34.33
191	223	239	247	123	61	30	143	71	35		136.3		0.4655		2070		34.5
17	136	196	226	241	248	252	254	127	191		188.8		0.2596		2080		34.67
223	239	119	187	221	110	55	27	13	134		132.8		0.4792		2090		34.83
67	33	144	72	164	210	105	52	154	77		107.8		0.5773		2100		35.0
38	147	201	100	178	217	108	182	219	109		149.9		0.4122		2110		35.17
182	219	237	246	251	253	254	127	191	95		205.5		0.1941		2120		35.33
47	151	75	37	18	9	132	194	97	176		93.6		0.6329		2130		35.5
216	236	118	59	157	78	39	147	201	100		135.1		0.4702		2140		35.67
50	25	140	70	35	17	136	68	34	17		59.2		0.7678		2150		35.83
8	4	130	65	32	16	8	132	66	161		62.2		0.7561		2160		36.0
80	168	84	42	149	74	165	210	233	116		132.1		0.482		2170		36.17
58	157	206	231	115	185	220	110	183	91		155.6		0.3898		2180		36.33
173	214	107	53	26	141	198	99	49	24		108.4		0.5749		2190		36.5
140	198	227	113	56	156	206	231	243	249		181.9		0.2867		2200		36.67
252	254	255	255	255	127	63	31	143	199		183.4		0.2808		2210		36.83
99	49	152	204	230	115	57	156	206	103		137.1		0.4624		2220		37.0
179	217	108	182	91	173	86	43	21	138		123.8		0.5145		2230		37.17
197	98	49	152	76	166	83	169	212	106		130.8		0.4871		2240		37.33
53	26	141	70	35	17	8	4	130	193		67.7		0.7345		2250		37.5
224	112	184	220	110	183	219	109	54	155		157.0		0.3843		2260		37.67
205	102	179	89	172	214	235	117	186	221		172.0		0.3255		2270		37.83
238	119	187	221	238	119	187	93	46	23		147.1		0.4231		2280		38.0
11	5	2	1	128	192	96	176	216	236		106.3		0.5831		2290		38.17
118	59	157	78	167	211	233	116	58	29		122.6		0.5192		2300		38.33
142	199	99	49	152	76	38	19	137	196		110.7		0.5659		2310		38.5
226	113	56	28	14	7	3	129	64	160		80.0		0.6863		2320		38.67
80	40	20	138	69	162	209	104	52	26		90.0		0.6471		2330		38.83
141	70	35	145	200	100	50	153	204	102		120.0		0.5294		2340		39.0
51	25	12	6	131	65	32	16	136	196		67.0		0.7373		2350		39.17
98	177	216	236	118	187	221	110	183	91		163.7		0.358		2360		39.33
173	86	171	85	170	213	234	117	186	221		165.6		0.3506		2370		39.5
238	119	187	93	46	23	139	69	34	17		96.5		0.6216		2380		39.67
136	196	98	49	152	204	102	51	153	76		121.7		0.5227		2390		39.83
38	19	137	68	34	17	136	68	34	17		56.8		0.7773		2400		40.0
136	68	34	17	8	4	2	1	0	0		27.0		0.8941		2410		40.17
0	128	64	32	16	136	68	34	145	72		69.5		0.7275		2420		40.33
36	18	137	68	34	145	200	100	50	153		94.1		0.631		2430		40.5
204	102	179	89	44	22	139	69	34	145		102.7		0.5973		2440		40.67
200	228	114	185	220	238	247	123	189	94		183.8		0.2792		2450		40.83
175	87	171	213	234	117	186	221	238	119		176.1		0.3094		2460		41.0
59	29	14	7	131	65	32	144	200	228		90.9		0.6435		2470		41.17
114	57	156	206	231	243	249	124	62	31		147.3		0.4224		2480		41.33
143	199	99	49	152	76	38	19	9	132		91.6		0.6408		2490		41.5
194	97	48	24	12	134	67	161	80	168		98.5		0.6137		2500		41.67
84	42	149	74	37	146	201	100	50	153		103.6		0.5937		2510		41.83
204	102	51	153	204	102	179	89	44	22		115.0		0.549		2520		42.0
11	5	2	129	192	224	112	56	156	206		109.3		0.5714		2530		42.17
231	115	185	92	46	151	203	229	242	121		161.5		0.3667		2540		42.33
188	94	175	87	43	21	10	5	2	129		75.4		0.7043		2550		42.5
192	224	240	248	124	190	223	111	183	219		195.4		0.2337		2560		42.67
237	118	187	221	238	119	59	29	142	199		154.9		0.3925		2570		42.83
99	49	24	140	198	99	177	216	236	246		148.4		0.418		2580		43.0
251	253	126	63	31	143	199	227	113	184		159.0		0.3765		2590		43.17
92	174	87	43	21	138	69	34	145	72		87.5		0.6569		2600		43.33
164	210	105	52	154	205	230	243	249	124		173.6		0.3192		2610		43.5
190	223	239	119	187	93	174	215	235	117		179.2		0.2973		2620		43.67
186	93	174	87	171	85	170	85	42	21		111.4		0.5631		2630		43.83
10	5	130	65	32	144	72	164	82	41		74.5		0.7078		2640		44.0
20	138	197	98	177	88	44	150	203	229		134.4		0.4729		2650		44.17
242	249	252	126	191	223	111	55	155	77		168.1		0.3408		2660		44.33
38	147	73	164	210	105	180	218	237	246		161.8		0.3655		2670		44.5
123	189	94	47	151	203	101	50	25	140		112.3		0.5596		2680		44.67
70	35	17	136	196	98	49	24	12	134		77.1		0.6976		2690		44.83
67	161	80	40	148	74	165	82	41	148		100.6		0.6055		2700		45.0
74	165	82	169	212	106	53	26	141	198		122.6		0.5192		2710		45.17
227	113	56	28	142	199	99	177	216	236		149.3		0.4145		2720		45.33
118	187	221	238	119	59	157	78	167	83		142.7		0.4404		2730		45.5
41	20	138	69	162	209	232	244	250	253		161.8		0.3655		2740		45.67
126	63	159	79	167	211	233	244	122	61		146.5		0.4255		2750		45.83
158	79	39	19	9	4	2	1	0	128		43.9		0.8278		2760		46.0
192	224	240	120	60	158	207	231	243	249		192.4		0.2455		2770		46.17
124	62	159	207	103	51	25	140	70	163		110.4		0.5671		2780		46.33
81	168	212	234	117	58	157	206	103	179		151.5		0.4059		2790		46.5
217	108	182	219	109	54	27	13	134	195		125.8		0.5067		2800		46.67
225	240	248	124	190	95	175	87	43	149		157.6		0.382		2810		46.83
74	165	82	41	148	202	101	178	217	236		144.4		0.4337		2820		47.0
118	59	157	78	39	147	73	36	18	9		73.4		0.7122		2830		47.17
132	66	33	144	200	100	50	25	12	6		76.8		0.6988		2840		47.33
3	129	64	32	16	136	68	34	17	136		63.5		0.751		2850		47.5
68	34	145	72	36	18	9	4	2	129		51.7		0.7973		2860		47.67
192	96	48	24	140	70	163	81	40	20		87.4		0.6573		2870		47.83
10	133	66	161	208	232	116	58	157	206		134.7		0.4718		2880		48.0
231	115	185	92	46	151	75	165	210	105		137.5		0.4608		2890		48.17
180	90	173	214	107	53	26	13	6	131		99.3		0.6106		2900		48.33
65	32	144	200	100	178	217	236	246	251		166.9		0.3455		2910		48.5
253	126	191	223	111	183	219	109	182	219		181.6		0.2878		2920		48.67
109	182	91	45	150	75	165	210	105	52		118.4		0.5357		2930		48.83
154	77	38	19	9	4	130	193	96	176		89.6		0.6486		2940		49.0
88	172	214	235	245	250	253	126	191	223		199.7		0.2169		2950		49.17
239	119	59	157	206	231	115	57	156	206		154.5		0.3941		2960		49.33
103	51	153	204	230	115	185	92	174	87		139.4		0.4533		2970		49.5
43	149	74	37	146	201	100	178	89	172		118.9		0.5337		2980		49.67
86	43	149	202	229	114	57	28	14	7		92.9		0.6357		2990		49.83
3	129	192	96	176	88	44	150	75	37		99.0		0.6118		3000		50.0
18	137	68	34	145	72	164	210	233	244		132.5		0.4804		3010		50.17
122	189	222	239	247	251	125	62	159	79		169.5		0.3353		3020		50.33
167	83	41	148	202	229	242	121	188	222		164.3		0.3557		3030		50.5
111	183	219	109	54	27	141	70	35	17		96.6		0.6212		3040		50.67
136	196	98	49	152	76	166	83	169	84		120.9		0.5259		3050		50.83
42	21	10	133	66	33	144	72	36	146		70.3		0.7243		3060		51.0
201	228	114	57	28	14	135	195	97	48		111.7		0.562		3070		51.17
24	140	70	163	81	168	212	106	181	90		123.5		0.5157		3080		51.33
173	214	107	181	90	173	214	235	117	58		156.2		0.3875		3090		51.5
29	142	199	99	177	216	236	118	59	157		143.2		0.4384		3100		51.67
206	103	51	153	76	38	19	9	4	130		78.9		0.6906		3110		51.83
65	160	80	40	148	202	229	114	57	28		112.3		0.5596		3120		52.0
14	135	195	225	240	120	188	94	175	87		147.3		0.4224		3130		52.17
43	21	10	133	66	161	208	232	244	250		136.8		0.4635		3140		52.33
253	254	255	127	191	223	239	247	123	189		210.1		0.1761		3150		52.5
222	111	55	27	13	134	67	33	16	136		81.4		0.6808		3160		52.67
196	226	113	56	156	206	231	243	249	124		180.0		0.2941		3170		52.83
190	223	239	247	123	61	158	207	231	115		179.4		0.2965		3180		53.0
57	156	206	103	179	89	172	214	107	181		146.4		0.4259		3190		53.17
90	45	150	75	165	82	41	148	74	37		90.7		0.6443		3200		53.33
18	9	132	66	33	16	8	132	66	33		51.3		0.7988		3210		53.5
16	8	132	66	161	80	40	148	74	165		89.0		0.651		3220		53.67
82	169	212	106	181	90	173	214	235	117		157.9		0.3808		3230		53.83
58	157	206	231	115	185	220	238	247	123		178.0		0.302		3240		54.0
189	222	111	55	155	205	230	115	57	28		136.7		0.4639		3250		54.17
142	71	35	17	8	132	194	225	112	184		112.0		0.5608		3260		54.33
220	238	247	251	253	254	255	255	255	255		248.3		0.0263		3270		54.5
127	63	31	143	71	35	17	136	196	226		104.5		0.5902		3280		54.67
113	184	220	238	119	187	221	110	55	155		160.2		0.3718		3290		54.83
205	102	51	25	140	70	35	17	136	68		84.9		0.6671		3300		55.0
162	81	40	20	138	69	34	145	72	164		92.5		0.6373		3310		55.17
82	169	84	170	213	234	245	122	189	222		173.0		0.3216		3320		55.33
239	247	123	189	222	239	119	187	93	174		183.2		0.2816		3330		55.5
87	43	149	202	101	178	89	44	150	75		111.8		0.5616		3340		55.67
37	18	9	4	130	193	96	176	216	108		98.7		0.6129		3350		55.83
182	219	237	246	251	253	126	191	223	111		203.9		0.2004		3360		56.0
55	155	77	166	211	105	180	218	109	182		145.8		0.4282		3370		56.17
91	173	214	107	181	90	45	22	11	5		93.9		0.6318		3380		56.33
2	1	128	64	160	80	168	212	106	53		97.4		0.618		3390		56.5
26	141	70	163	209	104	52	154	205	230		135.4		0.469		3400		56.67
243	121	188	94	175	215	107	181	218	109		165.1		0.3525		3410		56.83
54	155	77	166	83	41	20	138	197	226		115.7		0.5463		3420		57.0
113	56	156	206	231	243	121	60	158	207		155.1		0.3918		3430		57.17
231	243	121	188	222	239	247	123	61	158		183.3		0.2812		3440		57.33
79	167	211	105	180	218	109	54	27	13		116.3		0.5439		3450		57.5
134	67	161	80	168	84	170	85	42	21		101.2		0.6031		3460		57.67
138	197	98	177	88	172	86	43	149	202		135.0		0.4706		3470		57.83
229	242	249	124	62	31	15	135	67	161		131.5		0.4843		3480		58.0
208	104	52	154	77	166	83	41	20	10		91.5		0.6412		3490		58.17
133	66	33	16	136	196	98	177	216	108		117.9		0.5376		3500		58.33
182	219	237	118	187	93	46	151	203	101		153.7		0.3973		3510		58.5
178	217	236	246	251	125	190	95	175	87		180.0		0.2941		3520		58.67
171	213	234	117	58	29	142	71	35	17		108.7		0.5737		3530		58.83
8	132	66	33	16	136	196	226	241	120		117.4		0.5396		3540		59.0
60	158	207	231	243	249	252	126	191	223		194.0		0.2392		3550		59.17
111	55	27	13	6	131	65	160	208	232		100.8		0.6047		3560		59.33
244	250	253	254	127	191	223	239	247	251		227.9		0.1063		3570		59.5
125	62	31	15	7	3	1	128	192	96		66.0		0.7412		3580		59.67
176	216	236	246	123	189	94	175	215	235		190.5		0.2529		3590		59.83
245	122	61	158	207	103	51	25	140	70		118.2		0.5365		3600		60.0
35	145	200	228	242	121	60	30	15	7		108.3		0.5753		3610		60.17
131	193	96	176	88	44	150	75	37	146		113.6		0.5545		3620		60.33
201	100	50	153	76	166	83	169	212	106		131.6		0.4839		3630		60.5
181	218	237	118	59	29	14	135	67	161		121.9		0.522		3640		60.67
208	104	180	218	237	246	123	61	30	143		155.0		0.3922		3650		60.83
199	227	113	56	156	206	231	115	57	156		151.6		0.4055		3660		61.0
206	231	243	249	252	254	127	191	223	111		208.7		0.1816		3670		61.17
55	27	141	70	35	17	136	196	226	113		101.6		0.6016		3680		61.33
184	92	174	87	171	213	106	53	26	141		124.7		0.511		3690		61.5
70	35	17	136	68	162	209	232	116	186		123.1		0.5173		3700		61.67
93	46	151	203	101	50	153	76	166	211		125.0		0.5098		3710		61.83
105	180	218	237	246	251	253	254	127	191		206.2		0.1914		3720		62.0
223	111	183	91	45	22	11	5	130	65		88.6		0.6525		3730		62.17
160	208	232	116	186	93	46	23	139	197		140.0		0.451		3740		62.33
98	177	88	172	86	43	21	138	197	226		124.6		0.5114		3750		62.5
241	120	60	158	79	167	83	169	212	106		139.5		0.4529		3760		62.67
181	90	45	150	75	37	18	137	196	98		102.7		0.5973		3770		62.83
49	24	140	198	227	113	56	28	142	199		117.6		0.5388		3780		63.0
227	241	248	252	126	191	223	111	55	27		170.1		0.3329		3790		63.17
141	70	163	81	168	212	234	117	186	221		159.3		0.3753		3800		63.33
238	119	187	221	110	55	155	77	38	19		121.9		0.522		3810		63.5
9	132	66	33	144	200	100	178	89	44		99.5		0.6098		3820		63.67
22	11	133	66	161	80	168	84	42	21		78.8		0.691		3830		63.83
138	197	226	241	120	60	30	15	135	67		122.9		0.518		3840		64.0
161	208	104	52	26	13	134	67	33	16		81.4		0.6808		3850		64.17
8	4	2	1	0	128	192	96	48	24		50.3		0.8027		3860		64.33
12	134	195	225	112	56	28	14	135	195		110.6		0.5663		3870		64.5
97	176	88	44	22	139	69	162	81	40		91.8		0.64		3880		64.67
20	10	133	194	97	48	152	76	38	147		91.5		0.6412		3890		64.83
